date,open_price,high,low,close,volume
2019-07-29,8400.0,8450.0,8300.0,8350.0,20147300.0
2019-07-30,8300.0,8375.0,8225.0,8350.0,27278400.0
2019-07-31,8400.0,8500.0,8275.0,8475.0,21853200.0
2019-08-01,8450.0,8450.0,8250.0,8250.0,32360000.0
2019-08-02,8175.0,8175.0,8025.0,8100.0,39389500.0
2019-08-05,8025.0,8050.0,7900.0,7925.0,30645700.0
2019-08-06,7800.0,7950.0,7550.0,7825.0,34999600.0
2019-08-07,7900.0,8000.0,7825.0,7875.0,28251500.0
2019-08-08,7900.0,8150.0,7875.0,8125.0,26336600.0
2019-08-09,8150.0,8175.0,7925.0,7925.0,20603300.0
2019-08-12,7950.0,8000.0,7800.0,7925.0,13145000.0
2019-08-13,7875.0,7900.0,7825.0,7900.0,18109100.0
2019-08-14,8000.0,8125.0,7950.0,8100.0,26547000.0
2019-08-15,7900.0,8025.0,7850.0,8025.0,17055000.0
2019-08-16,8025.0,8100.0,7900.0,7925.0,12853900.0
2019-08-19,8000.0,8025.0,7825.0,7875.0,10523700.0
2019-08-20,7925.0,7925.0,7725.0,7750.0,17175900.0
2019-08-21,7700.0,7775.0,7575.0,7575.0,18106500.0
2019-08-22,7625.0,7725.0,7475.0,7600.0,31284300.0
2019-08-23,7600.0,7650.0,7450.0,7625.0,17746100.0
2019-08-26,7475.0,7525.0,7375.0,7500.0,15136900.0
2019-08-27,7450.0,7625.0,7450.0,7575.0,23383200.0
2019-08-28,7600.0,7625.0,7525.0,7600.0,14951300.0
2019-08-29,7625.0,7625.0,7500.0,7525.0,21357900.0
2019-08-30,7575.0,7700.0,7575.0,7700.0,18235500.0
2019-09-02,7675.0,7725.0,7625.0,7625.0,10082000.0
2019-09-03,7650.0,7675.0,7325.0,7450.0,17408900.0
2019-09-04,7500.0,7500.0,7325.0,7425.0,24546300.0
2019-09-05,7500.0,7575.0,7450.0,7525.0,15745800.0
2019-09-06,7600.0,7650.0,7550.0,7600.0,18847700.0
2019-09-09,7600.0,7625.0,7500.0,7550.0,12673300.0
2019-09-10,7550.0,7775.0,7550.0,7750.0,19704800.0
2019-09-11,7750.0,8000.0,7750.0,8000.0,29592000.0
2019-09-12,8100.0,8125.0,7850.0,7875.0,24032800.0
2019-09-13,7950.0,7975.0,7825.0,7850.0,8865000.0
2019-09-16,7750.0,7800.0,7575.0,7675.0,17741600.0
2019-09-17,7575.0,7775.0,7575.0,7750.0,14487400.0
2019-09-18,7800.0,7900.0,7775.0,7900.0,12259200.0
2019-09-19,7950.0,7950.0,7775.0,7775.0,12585300.0
2019-09-20,7725.0,7775.0,7625.0,7650.0,26528300.0
2019-09-23,7600.0,7650.0,7525.0,7575.0,17117900.0
2019-09-24,7575.0,7575.0,7400.0,7450.0,19436800.0
2019-09-25,7400.0,7525.0,7350.0,7475.0,13450100.0
2019-09-26,7525.0,7650.0,7500.0,7550.0,15307500.0
2019-09-27,7525.0,7550.0,7425.0,7425.0,15464200.0
2019-09-30,7375.0,7400.0,7150.0,7350.0,40040900.0
2019-10-01,7325.0,7400.0,7250.0,7275.0,16094400.0
2019-10-02,7225.0,7300.0,6900.0,6925.0,36566000.0
2019-10-03,6850.0,7000.0,6800.0,6900.0,21279400.0
2019-10-04,6900.0,7000.0,6850.0,6875.0,13284600.0
2019-10-07,6925.0,6950.0,6650.0,6675.0,21803000.0
2019-10-08,6750.0,6825.0,6700.0,6825.0,20956400.0
2019-10-09,6800.0,6800.0,6725.0,6750.0,12618700.0
2019-10-10,6750.0,6850.0,6725.0,6750.0,11644200.0
2019-10-11,6800.0,7000.0,6800.0,6975.0,16613000.0
2019-10-14,7075.0,7075.0,6900.0,6925.0,25566200.0
2019-10-15,6950.0,7200.0,6825.0,7150.0,34400700.0
2019-10-16,7200.0,7250.0,7050.0,7250.0,32741300.0
2019-10-17,7250.0,7400.0,7225.0,7375.0,30782000.0
2019-10-18,7350.0,7500.0,7350.0,7475.0,19085900.0
2019-10-21,7475.0,7500.0,7325.0,7375.0,18696000.0
2019-10-22,7425.0,7475.0,7200.0,7325.0,22153600.0
2019-10-23,7300.0,7550.0,7225.0,7550.0,32835200.0
2019-10-24,7600.0,8075.0,7600.0,7900.0,74989000.0
2019-10-25,7925.0,7975.0,7725.0,7825.0,29312500.0
2019-10-28,7850.0,7875.0,7725.0,7775.0,10614600.0
2019-10-29,7775.0,7825.0,7650.0,7725.0,24458300.0
2019-10-30,7750.0,7850.0,7625.0,7750.0,23345600.0
2019-10-31,7700.0,7775.0,7600.0,7675.0,14369000.0
2019-11-01,7725.0,7725.0,7625.0,7675.0,9648100.0
2019-11-04,7675.0,7750.0,7625.0,7625.0,16764200.0
2019-11-05,7600.0,7800.0,7575.0,7725.0,50649200.0
2019-11-06,7775.0,7775.0,7450.0,7500.0,36779800.0
2019-11-07,7500.0,7600.0,7275.0,7600.0,23978200.0
2019-11-08,7650.0,7700.0,7500.0,7675.0,17187700.0
2019-11-11,7600.0,7650.0,7500.0,7550.0,14847900.0
2019-11-12,7500.0,7600.0,7450.0,7600.0,21638600.0
2019-11-13,7600.0,7600.0,7350.0,7350.0,23806500.0
2019-11-14,7375.0,7425.0,7175.0,7300.0,29587800.0
2019-11-15,7350.0,7550.0,7300.0,7450.0,17105700.0
2019-11-18,7475.0,7525.0,7350.0,7425.0,20819600.0
2019-11-19,7475.0,7600.0,7375.0,7600.0,21053100.0
2019-11-20,7600.0,7675.0,7500.0,7650.0,24155500.0
2019-11-21,7625.0,7725.0,7525.0,7700.0,21039900.0
2019-11-22,7700.0,7700.0,7625.0,7650.0,10623500.0
2019-11-25,7625.0,7650.0,7475.0,7500.0,12589300.0
2019-11-26,7525.0,7575.0,7425.0,7500.0,36921400.0
2019-11-27,7450.0,7575.0,7425.0,7475.0,12384900.0
2019-11-28,7475.0,7575.0,7350.0,7400.0,10990500.0
2019-11-29,7400.0,7525.0,7325.0,7500.0,10171700.0
2019-12-02,7450.0,7700.0,7450.0,7550.0,32330100.0
2019-12-03,7525.0,7650.0,7475.0,7550.0,20822500.0
2019-12-04,7500.0,7550.0,7425.0,7425.0,21098400.0
2019-12-05,7450.0,7525.0,7425.0,7450.0,26992900.0
2019-12-06,7500.0,7625.0,7475.0,7575.0,14772400.0
2019-12-09,7625.0,7650.0,7525.0,7575.0,18485300.0
2019-12-10,7575.0,7650.0,7525.0,7600.0,19190600.0
2019-12-11,7650.0,7650.0,7525.0,7525.0,15785900.0
2019-12-12,7550.0,7675.0,7525.0,7525.0,25435000.0
2019-12-13,7625.0,7700.0,7575.0,7650.0,24452000.0
2019-12-16,7650.0,7750.0,7600.0,7700.0,29977800.0
2019-12-17,7700.0,7725.0,7650.0,7700.0,22594100.0
2019-12-18,7700.0,7850.0,7650.0,7825.0,42197000.0
2019-12-19,7825.0,7850.0,7750.0,7825.0,19300400.0
2019-12-20,7825.0,7825.0,7750.0,7800.0,18861800.0
2019-12-23,7850.0,7925.0,7800.0,7925.0,22917200.0
2019-12-26,7950.0,8000.0,7925.0,7950.0,17654600.0
2019-12-27,7950.0,7975.0,7850.0,7925.0,9685700.0
2019-12-30,7950.0,7975.0,7800.0,7850.0,17802300.0
2020-01-02,7875.0,7875.0,7775.0,7775.0,9301300.0
2020-01-03,7800.0,7875.0,7650.0,7800.0,16125700.0
2020-01-06,7750.0,7750.0,7600.0,7625.0,13124600.0
2020-01-07,7675.0,7700.0,7525.0,7550.0,19024900.0
2020-01-08,7500.0,7525.0,7400.0,7425.0,20463400.0
2020-01-09,7500.0,7700.0,7500.0,7700.0,21885300.0
2020-01-10,7700.0,7825.0,7675.0,7725.0,20992500.0
2020-01-13,7750.0,7800.0,7700.0,7775.0,12358300.0
2020-01-14,7825.0,7850.0,7725.0,7850.0,20143400.0
2020-01-15,7800.0,7875.0,7650.0,7675.0,17684900.0
2020-01-16,7675.0,7775.0,7625.0,7700.0,19013700.0
2020-01-17,7700.0,7775.0,7675.0,7775.0,16815000.0
2020-01-20,7725.0,7800.0,7525.0,7550.0,17592300.0
2020-01-21,7575.0,7650.0,7500.0,7575.0,16451800.0
